CategoryID,CategoryName
1,Mechanical Characteristics
2,Electrical Characteristics
3,Power Quality Accuracy
4,Voltage Inputs
5,Current Inputs
6,Control Power
7,Communications
8,Inputs and Outputs
9,Environmental Characteristics
10,Standards and Certifications
11,Device Information
12,Real-Time Clock
13,LED Indicators
14,MID-MIR Compliance
